代號,名稱,外資買賣超,投信買賣超,三大法人買賣超
006201,元大富櫃50,-1000,0,-189908
00679B,元大美債20年,-25493255,0,17008217
00687B,國泰20年美債,1370900,0,19447102
00687C,國泰20年美債+櫃U,0,0,0
00694B,富邦美債1-3,-22000,0,-32131
00695B,富邦美債7-10,-2000,0,-6794
00696B,富邦美債20年,651000,0,218426
00697B,元大美債7-10,-30000,0,-236498
00719B,元大美債1-3,-1218950,0,-1567225
00720B,元大投資級公司債,5139000,0,6855160
00722B,群益投資級電信債,1789000,0,895347
00723B,群益投資級科技債,174000,0,-54036
00724B,群益投資級金融債,1129000,0,401914
00725B,國泰投資級公司債,2350000,0,3065199
00726B,國泰新興投等債,39000,0,28682
00727B,國泰優選非投等債,0,0,-38099
00734B,台新JPM新興債,22000,0,22000
00740B,富邦全球投等債,2061000,0,-352576
00741B,富邦全球非投等債,9000,0,10958
00746B,富邦A級公司債,1050000,0,202068
00749B,凱基新興債10+,0,0,2000
00750B,凱基科技債10+,0,0,0
00751B,元大AAA至A公司債,14554000,0,14251525
00754B,群益AAA-AA公司債,93000,0,-97289
00755B,群益投資級公用債,40000,0,4124
00756B,群益投等新興公債,107000,0,82640
00758B,復華能源債,1000,0,999
00759B,復華製藥債,0,0,-90
00760B,復華新興企業債,1000,0,-7277
00761B,國泰A級公司債,510000,0,200745
00764B,群益25年美債,-104000,0,328415
00768B,復華20年美債,101000,0,97490
00772B,中信高評級公司債,2929000,0,3551575
00773B,中信優先金融債,1172000,0,692001
00777B,凱基AAA至A公司債,1000,0,1000
00778B,凱基金融債20+,0,0,0
00779B,凱基美債25+,6000,0,16000
00780B,國泰A級金融債,125000,0,1000
00781B,國泰A級科技債,6000,0,7682
00782B,國泰A級公用債,2000,0,9330
00785B,富邦金融投等債,-1000,0,76
00786B,元大10年IG銀行債,0,0,14001
00787B,元大10年IG醫療債,0,0,32000
00788B,元大10年IG電能債,0,0,66105
00789B,復華公司債A3,3000,0,-1039
00791B,復華信用債1-5,0,0,-11
00792B,群益A級公司債,129000,0,11000
00793B,群益AAA-A醫療債,6000,0,6001
00795B,中信美國公債20年,1386000,0,2498081
00799B,國泰A級醫療債,0,0,118000
00834B,第一金金融債10+,0,0,4000
00836B,永豐10年A公司債,3000,0,3000
00840B,凱基IG精選15+,0,0,0
00841B,凱基AAA-AA公司債,0,0,0
00842B,台新美元銀行債,0,0,-311276
00844B,新光15年IG金融債,0,0,5000
00845B,富邦新興投等債,1000,0,0
00846B,富邦歐洲銀行債,0,0,1
00847B,中信美國市政債,7000,0,57000
00848B,中信新興亞洲債,1000,0,-1000
00849B,中信EM主權債0-5,-19000,0,-23025
00853B,統一美債10年Aa-A,89000,0,74313
00856B,永豐1-3年美公債,-20000,0,-19354
00857B,永豐20年美公債,530000,0,1065053
00858,永豐美國500大,0,0,794913
00859B,群益0-1年美債,-369000,0,-583623
00860B,群益1-5Y投資級債,0,0,-1000
00862B,中信投資級公司債,1066000,0,51077
00863B,中信全球電信債,7000,0,1000
00864B,中信美國公債0-1,-1824000,0,-1132000
00867B,新光A-BBB電信債,4000,0,1000
00870B,元大15年EM主權債,67000,0,7062
00877,復華中國5G,4176000,0,4868514
00883B,中信ESG投資級債,51000,0,44089
00884B,中信低碳新興債,49000,0,-3021
00886,永豐美國科技,0,0,31825
00887,永豐中國科技50大,3038000,0,5706138
00888,永豐台灣ESG,619000,0,-2225240
00890B,凱基ESG BBB債15+,189000,0,7000
00928,中信上櫃ESG 30,1000,0,853655
00931B,統一美債20年,936000,0,1865178
00933B,國泰10Y+金融債,6260000,0,8044404
00937B,群益ESG投等債20+,59231998,0,79034807
00942B,台新美A公司債20+,1992000,0,1495684
00948B,中信優息投資級債,13248000,0,13659231
00950B,凱基A級公司債,3847000,0,4544643
00955,中信日本商社,1798500,0,5941293
00957B,兆豐US優選投等債,-4000,0,2662467
00958B,永豐ESG銀行債15+,1940000,0,3574681
00959B,大華投等美債15Y+,2909000,0,2463324
00966B,統一ESG投等債15+,478000,0,962439
00967B,元大優息美債,-13000,0,75943
00968B,元大優息投等債,1919000,0,4098287
00969B,元大零息超長美債,-5000,0,726688
00970B,新光BBB投等債20+,1789000,0,2492968
009806,台新標普500,0,0,92506
009807,台新標普科技精選,0,0,183793
00980B,台新特選IG債10+,2000,0,250246
00980D,主動聯博投等入息,-22000,0,322688
00980T,平衡凱基美國TOP,33000,0,452368
009814,富邦標普500,11000,0,2287215
009815,大華美國MAG7+,234300,0,6516852
00981B,第一金優選非投債,1597000,0,-8051488
00981D,主動中信非投等債,665000,0,810186
00982B,FT投資級債20+,85000,0,84796
00983B,大華優利美公債20,-5000,0,479995
00984B,大華優利美A債15,6878000,0,7533732
00985D,主動貝萊德優投等,0,0,313393
00986B,FT金融債10+,156000,0,176900
00987B,野村10+澳洲公債,224000,0,1306439
00988B,玉山嚴選非投債,0,0,169721
00989B,台新美國非投等債,32000,0,4186000
020025,統一亞洲半導體N,0,0,263000
020027,元大上櫃ESG成長N,0,0,21000
020033,統一恒生科期N,0,0,1000
020035,元大上櫃ESG高息N,0,0,26000
020040,元大上櫃ESG龍頭N,0,0,33000
020041,兆豐半導體氣候N,0,0,-53000
1240,茂生農經,-1000,0,-1000
1259,安心,0,0,0
1264,德麥,-4000,0,-23000
1268,漢來美食,-1000,0,-1000
1294,漢田生技,-3000,0,-3000
1295,生合,27000,0,27123
1336,台翰,14000,0,14000
1565,精華,-62000,0,-62000
1569,濱川,209000,0,238911
1570,力肯,5000,0,5000
1580,新麥,-9000,0,-9000
1584,精剛,895000,0,895000
1586,和勤,30000,0,30000
1591,駿吉-KY,-47999,0,-93999
1593,祺驊,3000,0,3000
1595,川寶,119000,0,119061
1599,宏佳騰,1000,0,1000
1777,生泰,0,0,0
1781,合世,1,0,-139
1784,訊聯,-23000,0,-26439
1785,光洋科,-276140,324000,186006
1788,杏昌,-1000,0,-1000
1796,金穎生技,0,0,0
1799,易威,111000,0,111024
1813,寶利徠,-1000,0,-1000
1815,富喬,10502136,-50000,12314710
2035,唐榮,-8000,0,-8000
2061,風青,11000,0,10900
2063,世鎧,-1000,0,-1000
2064,晉椿,1000,0,1000
2065,世豐,-20000,0,-20000
2066,世德,0,0,0
2070,精湛,91000,0,91657
2221,大甲,0,0,0
2230,泰茂,113000,0,114628
2596,綠意,-3000,0,-3000
2640,大車隊,6000,0,6000
2641,正德,243000,0,233741
2643,捷迅,-8000,0,-8000
2718,全心投控,-2000,0,-1945
2719,燦星旅,1000,0,1000
2729,瓦城,0,0,0
2732,六角,-1000,0,-986
2734,易飛網,-6000,0,-6000
2736,富野,7000,0,7101
2743,山富,60000,0,63593
2745,五福,68010,0,68010
2751,王座,7000,0,7000
2752,豆府,-12000,0,-12000
2754,亞洲藏壽司,-17000,0,-17000
2755,揚秦,-14000,0,-14000
2756,聯發國際,2000,0,2000
2916,滿心,1000,0,1000
2926,誠品生活,13000,0,13000
2948,寶陞,-1000,0,-1000
2949,欣新網,-1000,0,-1000
3064,泰偉,0,0,71
3066,李洲,104000,0,104008
3071,協禧,218000,0,217000
3073,天方能源,63000,0,62340
3078,僑威,97000,-3000,97499
3081,聯亞,-188541,-150000,-349253
3083,網龍,3000,0,3000
3086,華義,-47000,0,-62321
3088,艾訊,246000,0,245113
3093,港建*,320000,0,97039
3105,穩懋,-377593,931000,618758
3114,好德,1000,0,-1000
3115,富榮綱,1,0,1
3118,進階,-2000,0,-2000
3122,笙泉,16001,0,16001
3128,昇銳,104001,0,104004
3131,弘塑,-13780,41000,15929
3141,晶宏,10000,0,11803
3147,大綜,12000,0,12725
3152,璟德,200950,0,291263
3162,精確,3016000,0,3016867
3163,波若威,122085,172000,194955
3169,亞信,13000,0,15911
3171,炎洲流通,5000,0,5000
3176,基亞,-14000,0,-14000
3178,公準,-29000,0,-29000
3188,鑫龍騰,43000,0,43000
3191,雲嘉南,0,0,-1000
3205,佰研,116000,0,116329
3206,志豐,-24000,0,-24000
3207,耀勝,-80000,0,-80037
3211,順達,465894,566000,1218059
3213,茂訊,180003,0,181388
3217,優群,63000,-2000,62834
3218,大學光,-46000,0,-45161
3219,倚強科,42000,0,42336
3221,台嘉碩,-848000,0,-847959
3224,三顧,-15000,0,-15000
3226,龍鋒,-2000,0,-2000
3227,原相,302000,0,368450
3228,金麗科,145002,0,142754
3230,錦明,12000,0,11234
3232,昱捷,0,0,0
3234,光環,435900,0,590487
3236,千如,262000,0,264393
3252,海灣,5000,0,5000
3259,鑫創,2000,0,2000
3260,威剛,-569846,177900,-432078
3264,欣銓,681330,81200,1113049
3265,台星科,2726950,50000,2909391
3268,海德威,7000,0,6931
3272,東碩,9000,0,9000
3276,宇環,7001,0,7001
3284,太普高,24000,0,24493
3285,微端,-2000,0,-2000
3287,廣寰科,4000,0,3942
3289,宜特,866913,0,934159
3290,東浦,113000,0,155351
3293,鈊象,-723460,195000,-554971
3294,英濟,136000,0,134000
3297,杭特,12000,0,11996
3303,岱稜,-23000,0,-22396
3306,鼎天,72999,0,72999
3310,佳穎,11000,0,11585
3313,斐成,0,0,-64
3317,尼克森,570968,0,572444
3322,建舜電,-53000,0,398769
3323,加百裕,161021,0,144521
3324,雙鴻,1255106,-326000,1208746
3325,旭品,57000,0,57082
3332,幸康,2000,0,2000
3339,泰谷,-354350,0,-354141
3349,寶德,-13000,0,-13000
3354,律勝,100000,0,100006
3357,臺慶科,250000,0,303606
3360,尚立,123000,0,123000
3362,先進光,79138,0,78735
3363,上詮,406395,0,536555
3372,典範,81001,0,81137
3373,熱映,8000,0,8000
3374,精材,210000,2000,561149
3379,彬台,118000,0,117958
3388,崇越電,-69000,0,-72333
3390,旭軟,8000,0,7688
3402,漢科,82800,0,81012
3430,奇鈦科,35000,0,34967
3434,哲固,-10000,0,-10000
3438,類比科,46000,0,46000
3441,聯一光,39000,0,32004
3444,利機,20000,0,20000
3455,由田,-103679,0,-123089
3465,進泰電子,-1000,0,-1000
3466,德晉,30002,0,30002
3467,台灣精材,-2000,0,-2000
3479,安勤,-36000,0,-35749
3483,力致,142100,0,144618
3484,崧騰,148000,0,143000
3489,森寶,33000,0,33000
3490,單井,87000,0,87430
3491,昇達科,660655,154001,771809
3492,長盛,0,0,53
3498,陽程,841501,0,839811
3499,環天科,30001,0,29801
3508,位速,7000,0,7000
3511,矽瑪,35000,0,35000
3512,皇龍,1000,0,1000
3516,亞帝歐,4000,0,4000
3520,華盈,1000,0,1000
3521,台鋼建設,3000,0,3226
3522,御嵿,-15000,0,-15008
3523,迎輝,-1000,0,-1000
3526,凡甲,295000,0,291579
3527,聚積,19000,0,19000
3529,力旺,24857,47001,75451
3537,堡達,70001,0,69967
3540,曜越,65000,0,65205
3541,西柏,6000,0,6331
3546,宇峻,-5378,0,-6109
3548,兆利,89001,0,88495
3551,世禾,64000,0,54460
3552,同致,-132000,0,-119917
3555,博士旺,-5000,0,-41538
3556,禾瑞亞,13000,0,11000
3558,神準,81000,0,81428
3564,其陽,38000,0,37453
3567,逸昌,19000,0,19000
3570,大塚,6000,0,6000
3577,泓格,-65000,0,-64049
3580,友威科,398990,0,398817
3581,博磊,-53000,0,-69230
3587,閎康,25698,0,185730
3594,磐儀,7000,0,7647
3597,映興,-1000,0,-1000
3609,三一東林,23000,0,18000
3611,鼎翰,-2000,0,-2000
3615,安可,396000,0,396000
3623,富晶通,44000,0,43991
3624,光頡,121000,0,123423
3625,西勝,64000,0,64310
3628,盈正,-5000,0,-4137
3630,新鉅科,153209,0,155694
3631,晟楠,6000,0,6000
3646,艾恩特,-3000,0,-3000
3663,鑫科,218000,0,243813
3666,光耀,3001,0,3001
3672,康聯訊,-1000,0,-1000
3675,德微,-37000,0,-17936
3680,家登,373946,0,519730
3684,榮昌,38000,0,38012
3685,元創精密,-14000,0,-14000
3687,歐買尬,-9000,0,-9000
3689,湧德,902000,0,926247
3691,碩禾,31000,0,23000
3693,營邦,-242004,0,-136673
3707,漢磊,-331000,0,-369596
3709,鑫聯大投控,416000,0,974155
3710,連展投控,27000,0,27000
3713,新晶投控,22000,0,22000
4102,永日,-6000,0,-6001
4105,東洋,-587000,0,-586969
4107,邦特,24000,0,24000
4109,加捷生醫,46000,0,45939
